Date,close
2015-01-02,39.55216598510742
2015-01-05,39.34247970581055
2015-01-06,38.258121490478516
2015-01-07,38.50374221801758
2015-01-08,39.198692321777344
2015-01-09,39.803775787353516
2015-01-12,38.965030670166016
2015-01-13,38.791316986083984
2015-01-14,38.69544982910156
2015-01-15,37.31155776977539
2015-01-16,37.988521575927734
2015-01-20,37.81476974487305
2015-01-21,37.916629791259766
2015-01-22,38.30604553222656
2015-01-23,38.330013275146484
2015-01-26,35.38247299194336
2015-01-27,34.19026184082031
2015-01-28,34.465858459472656
2015-01-29,35.16679382324219
2015-01-30,33.81284713745117
2015-02-02,34.62760543823242
2015-02-03,35.49629592895508
2015-02-04,35.903682708740234
2015-02-05,36.19123458862305
2015-02-06,36.23354721069336
2015-02-09,36.511619567871094
2015-02-10,36.39072799682617
2015-02-11,36.753421783447266
2015-02-12,36.97103500366211
2015-02-13,37.3820915222168
2015-02-17,36.96500015258789
2015-02-18,36.983131408691406
2015-02-19,37.15239334106445
2015-02-20,37.5876350402832
2015-02-23,37.4727783203125
2015-02-24,36.692989349365234
2015-02-25,36.28190994262695
2015-02-26,36.680877685546875
2015-02-27,36.94686508178711
2015-03-02,37.21284103393555
2015-03-03,35.5565299987793
2015-03-04,35.10919952392578
2015-03-05,35.32680892944336
2015-03-06,34.39588928222656
2015-03-09,34.44424819946289
2015-03-10,32.89067840576172
2015-03-11,32.86045837402344
2015-03-12,32.96927261352539
2015-03-13,32.497764587402344
2015-03-16,33.1506233215332
2015-03-17,32.443359375
2015-03-18,33.42869186401367
2015-03-19,33.67653274536133
2015-03-20,34.16012954711914
2015-03-23,33.76116180419922
2015-03-24,33.44681930541992
2015-03-25,32.4070930480957
2015-03-26,32.35871505737305
2015-03-27,31.893264770507812
2015-03-30,32.086708068847656
2015-03-31,31.451976776123047
2015-04-01,31.306909561157227
2015-04-02,31.705886840820312
2015-04-06,31.88117790222168
2015-04-07,32.491729736328125
2015-04-08,32.22574996948242
2015-04-09,33.05994415283203
2015-04-10,33.59795379638672
2015-04-13,33.49518585205078
2015-04-14,33.712799072265625
2015-04-15,34.25684356689453
2015-04-16,33.827659606933594
2015-04-17,34.716270446777344
2015-04-20,35.74995803833008
2015-04-21,35.308677673339844
2015-04-22,35.199867248535156
2015-04-23,35.514198303222656
2015-04-24,35.26636505126953
2015-04-27,35.012474060058594
2015-04-28,35.66532897949219
2015-04-29,35.4884033203125
2015-04-30,35.823944091796875
2015-05-01,36.37913131713867
2015-05-04,36.12288284301758
2015-05-05,35.201656341552734
2015-05-06,34.341453552246094
2015-05-07,34.42687225341797
2015-05-08,34.9210319519043
2015-05-11,34.628196716308594
2015-05-12,34.26213455200195
2015-05-13,34.52448272705078
2015-05-14,35.036956787109375
2015-05-15,34.707489013671875
2015-05-18,34.7136116027832
2015-05-19,33.64596939086914
2015-05-20,33.3104133605957
2015-05-21,33.780181884765625
2015-05-22,34.03641891479492
2015-05-26,33.3043212890625
2015-05-27,33.761871337890625
2015-05-28,34.3902587890625
2015-05-29,33.94490432739258
2015-06-01,33.67646026611328
2015-06-02,33.73137664794922
2015-06-03,33.963199615478516
2015-06-04,33.27381896972656
2015-06-05,33.206703186035156
2015-06-08,32.35868835449219
2015-06-09,32.102455139160156
2015-06-10,32.69423294067383
2015-06-11,33.127384185791016
2015-06-12,32.66983413696289
2015-06-15,32.56000900268555
2015-06-16,32.45630645751953
2015-06-17,32.44410705566406
2015-06-18,33.02978515625
2015-06-19,32.547828674316406
2015-06-22,32.865055084228516
2015-06-23,31.901124954223633
2015-06-24,31.70590591430664
2015-06-25,30.925003051757812
2015-06-26,30.5406551361084
2015-06-29,29.906164169311523
2015-06-30,28.978849411010742
2015-07-01,29.02155113220215
2015-07-02,29.375391006469727
2015-07-06,28.686002731323242
2015-07-07,29.17406463623047
2015-07-08,28.307754516601562
2015-07-09,28.088123321533203
2015-07-10,28.03321647644043
2015-07-13,28.234535217285156
2015-07-14,29.04594612121582
