Date,close
2026-06-03,23.059999465942383
2026-06-04,22.889999389648438
2026-06-05,21.59000015258789
2026-06-08,21.190000534057617
2026-06-09,21.280000686645508
2026-06-10,21.75
2026-06-11,21.889999389648438
2026-06-12,21.780000686645508
2026-06-15,21.979999542236328
2026-06-16,20.719999313354492
2026-06-17,19.889999389648438
2026-06-18,19.709999084472656
2026-06-22,19.43000030517578
2026-06-23,18.559999465942383
2026-06-24,18.209999084472656
2026-06-25,17.170000076293945
2026-06-26,17.68000030517578
2026-06-29,18.15999984741211
2026-06-30,18.40999984741211
2026-07-01,19.3700008392334
2026-07-02,19.110000610351562
2026-07-06,20.06999969482422
2026-07-07,19.899999618530273
2026-07-08,21.3799991607666
2026-07-09,21.420000076293945
2026-07-10,21.25
2026-07-13,20.950000762939453
2026-07-14,20.920000076293945
2026-07-15,22.219999313354492
2026-07-16,22.959999084472656
2026-07-17,21.860000610351562
2026-07-20,22.90999984741211
2026-07-21,22.200000762939453
2026-07-22,21.229999542236328
2026-07-23,20.93000030517578
2026-07-24,20.889999389648438
2026-07-27,22.020000457763672
2026-07-28,22.549999237060547
2026-07-29,23.3700008392334
2026-07-30,23.790000915527344
2026-07-31,24.450000762939453
2026-08-03,24.920000076293945
2026-08-04,25.1200008392334
2026-08-05,24.56999969482422
2026-08-06,24.31999969482422
2026-08-07,24.690000534057617
2026-08-10,25.469999313354492
2026-08-11,23.770000457763672
2026-08-12,22.860000610351562
2026-08-13,21.68000030517578
2026-08-14,21.850000381469727
2026-08-17,21.760000228881836
2026-08-18,21.530000686645508
2026-08-19,22.190000534057617
2026-08-20,21.31999969482422
2026-08-21,21.280000686645508
2026-08-24,20.59000015258789
2026-08-25,20.84000015258789
2026-08-26,20.59000015258789
2026-08-27,20.31999969482422
2026-08-28,20.6299991607666
2026-08-31,19.950000762939453
2026-09-01,19.649999618530273
2026-09-02,19.68000030517578
2026-09-03,19.459999084472656
2026-09-04,20.139999389648438
2026-09-08,19.100000381469727
2026-09-09,18.280000686645508
2026-09-10,17.770000457763672
2026-09-11,17.940000534057617
